,Age,Embarked,Sex,Survived
1,22,S,male,0
2,38,C,female,1
3,26,S,female,1
4,35,S,female,1
5,35,S,male,0
6,,Q,male,0
7,54,S,male,0
8,2,S,male,0
9,27,S,female,1
10,14,C,female,1
11,4,S,female,1
12,58,S,female,1
13,20,S,male,0
14,39,S,male,0
15,14,S,female,0
16,55,S,female,1
17,2,Q,male,0
18,,S,male,1
19,31,S,female,0
20,,C,female,1
21,35,S,male,0
22,34,S,male,1
23,15,Q,female,1
24,28,S,male,1
25,8,S,female,0
26,38,S,female,1
27,,C,male,0
28,19,S,male,0
29,,Q,female,1
30,,S,male,0
31,40,C,male,0
32,,C,female,1
33,,Q,female,1
34,66,S,male,0
35,28,C,male,0
36,42,S,male,0
37,,C,male,1
38,21,S,male,0
39,18,S,female,0
40,14,C,female,1
41,40,S,female,0
42,27,S,female,0
43,,C,male,0
44,3,C,female,1
45,19,Q,female,1
46,,S,male,0
47,,Q,male,0
48,,Q,female,1
49,,C,male,0
50,18,S,female,0
51,7,S,male,0
52,21,S,male,0
53,49,C,female,1
54,29,S,female,1
55,65,C,male,0
56,,S,male,1
57,21,S,female,1
58,28.5,C,male,0
59,5,S,female,1
60,11,S,male,0
61,22,C,male,0
62,38,,female,1
63,45,S,male,0
64,4,S,male,0
65,,C,male,0
66,,C,male,1
67,29,S,female,1
68,19,S,male,0
69,17,S,female,1
70,26,S,male,0
71,32,S,male,0
72,16,S,female,0
73,21,S,male,0
74,26,C,male,0
75,32,S,male,1
76,25,S,male,0
77,,S,male,0
78,,S,male,0
79,0.83,S,male,1
80,30,S,female,1
81,22,S,male,0
82,29,S,male,1
83,,Q,female,1
84,28,S,male,0
85,17,S,female,1
86,33,S,female,1
87,16,S,male,0
88,,S,male,0
89,23,S,female,1
90,24,S,male,0
91,29,S,male,0
92,20,S,male,0
93,46,S,male,0
94,26,S,male,0
95,59,S,male,0
96,,S,male,0
97,71,C,male,0
98,23,C,male,1
99,34,S,female,1
100,34,S,male,0
101,28,S,female,0
102,,S,male,0
103,21,S,male,0
104,33,S,male,0
105,37,S,male,0
106,28,S,male,0
107,21,S,female,1
108,,S,male,1
109,38,S,male,0
110,,Q,female,1
111,47,S,male,0
112,14.5,C,female,0
113,22,S,male,0
114,20,S,female,0
115,17,C,female,0
116,21,S,male,0
117,70.5,Q,male,0
118,29,S,male,0
119,24,C,male,0
120,2,S,female,0
121,21,S,male,0
122,,S,male,0
123,32.5,C,male,0
124,32.5,S,female,1
125,54,S,male,0
126,12,C,male,1
127,,Q,male,0
128,24,S,male,1
129,,C,female,1
130,45,S,male,0
131,33,C,male,0
132,20,S,male,0
133,47,S,female,0
134,29,S,female,1
135,25,S,male,0
136,23,C,male,0
137,19,S,female,1
138,37,S,male,0
139,16,S,male,0
140,24,C,male,0
141,,C,female,0
142,22,S,female,1
143,24,S,female,1
144,19,Q,male,0
145,18,S,male,0
146,19,S,male,0
147,27,S,male,1
148,9,S,female,0
149,36.5,S,male,0
150,42,S,male,0
151,51,S,male,0
152,22,S,female,1
153,55.5,S,male,0
154,40.5,S,male,0
155,,S,male,0
156,51,C,male,0
157,16,Q,female,1
158,30,S,male,0
159,,S,male,0
160,,S,male,0
161,44,S,male,0
162,40,S,female,1
163,26,S,male,0
164,17,S,male,0
165,1,S,male,0
166,9,S,male,1
167,,S,female,1
168,45,S,female,0
169,,S,male,0
170,28,S,male,0
171,61,S,male,0
172,4,Q,male,0
173,1,S,female,1
174,21,S,male,0
175,56,C,male,0
176,18,S,male,0
177,,S,male,0
178,50,C,female,0
179,30,S,male,0
180,36,S,male,0
181,,S,female,0
182,,C,male,0
183,9,S,male,0
184,1,S,male,1
185,4,S,female,1
186,,S,male,0
187,,Q,female,1
188,45,S,male,1
189,40,Q,male,0
190,36,S,male,0
191,32,S,female,1
192,19,S,male,0
193,19,S,female,1
194,3,S,male,1
195,44,C,female,1
196,58,C,female,1
197,,Q,male,0
198,42,S,male,0
199,,Q,female,1
200,24,S,female,0
201,28,S,male,0
202,,S,male,0
203,34,S,male,0
204,45.5,C,male,0
205,18,S,male,1
206,2,S,female,0
207,32,S,male,0
208,26,C,male,1
209,16,Q,female,1
210,40,C,male,1
211,24,S,male,0
212,35,S,female,1
213,22,S,male,0
214,30,S,male,0
215,,Q,male,0
216,31,C,female,1
217,27,S,female,1
218,42,S,male,0
219,32,C,female,1
220,30,S,male,0
221,16,S,male,1
222,27,S,male,0
223,51,S,male,0
224,,S,male,0
225,38,S,male,1
226,22,S,male,0
227,19,S,male,1
228,20.5,S,male,0
229,18,S,male,0
230,,S,female,0
231,35,S,female,1
232,29,S,male,0
233,59,S,male,0
234,5,S,female,1
235,24,S,male,0
236,,S,female,0
237,44,S,male,0
238,8,S,female,1
239,19,S,male,0
240,33,S,male,0
241,,C,female,0
242,,Q,female,1
243,29,S,male,0
244,22,S,male,0
245,30,C,male,0
246,44,Q,male,0
247,25,S,female,0
248,24,S,female,1
249,37,S,male,1
250,54,S,male,0
251,,S,male,0
252,29,S,female,0
253,62,S,male,0
254,30,S,male,0
255,41,S,female,0
256,29,C,female,1
257,,C,female,1
258,30,S,female,1
259,35,C,female,1
260,50,S,female,1
261,,Q,male,0
262,3,S,male,1
263,52,S,male,0
264,40,S,male,0
265,,Q,female,0
266,36,S,male,0
267,16,S,male,0
268,25,S,male,1
269,58,S,female,1
270,35,S,female,1
271,,S,male,0
272,25,S,male,1
273,41,S,female,1
274,37,C,male,0
275,,Q,female,1
276,63,S,female,1
277,45,S,female,0
278,,S,male,0
279,7,Q,male,0
280,35,S,female,1
281,65,Q,male,0
282,28,S,male,0
283,16,S,male,0
284,19,S,male,1
285,,S,male,0
286,33,C,male,0
287,30,S,male,1
288,22,S,male,0
289,42,S,male,1
290,22,Q,female,1
291,26,S,female,1
292,19,C,female,1
293,36,C,male,0
294,24,S,female,0
295,24,S,male,0
296,,C,male,0
297,23.5,C,male,0
298,2,S,female,0
299,,S,male,1
300,50,C,female,1
301,,Q,female,1
302,,Q,male,1
303,19,S,male,0
304,,Q,female,1
305,,S,male,0
306,0.92,S,male,1
307,,C,female,1
308,17,C,female,1
309,30,C,male,0
310,30,C,female,1
311,24,C,female,1
312,18,C,female,1
313,26,S,female,0
314,28,S,male,0
315,43,S,male,0
316,26,S,female,1
317,24,S,female,1
318,54,S,male,0
319,31,S,female,1
320,40,C,female,1
321,22,S,male,0
322,27,S,male,0
323,30,Q,female,1
324,22,S,female,1
325,,S,male,0
326,36,C,female,1
327,61,S,male,0
328,36,S,female,1
329,31,S,female,1
330,16,C,female,1
331,,Q,female,1
332,45.5,S,male,0
333,38,S,male,0
334,16,S,male,0
335,,S,female,1
336,,S,male,0
337,29,S,male,0
338,41,C,female,1
339,45,S,male,1
340,45,S,male,0
341,2,S,male,1
342,24,S,female,1
343,28,S,male,0
344,25,S,male,0
345,36,S,male,0
346,24,S,female,1
347,40,S,female,1
348,,S,female,1
349,3,S,male,1
350,42,S,male,0
351,23,S,male,0
352,,S,male,0
353,15,C,male,0
354,25,S,male,0
355,,C,male,0
356,28,S,male,0
357,22,S,female,1
358,38,S,female,0
359,,Q,female,1
360,,Q,female,1
361,40,S,male,0
362,29,C,male,0
363,45,C,female,0
364,35,S,male,0
365,,Q,male,0
366,30,S,male,0
367,60,C,female,1
368,,C,female,1
369,,Q,female,1
370,24,C,female,1
371,25,C,male,1
372,18,S,male,0
373,19,S,male,0
374,22,C,male,0
375,3,S,female,0
376,,C,female,1
377,22,S,female,1
378,27,C,male,0
379,20,C,male,0
380,19,S,male,0
381,42,C,female,1
382,1,C,female,1
383,32,S,male,0
384,35,S,female,1
385,,S,male,0
386,18,S,male,0
387,1,S,male,0
388,36,S,female,1
389,,Q,male,0
390,17,C,female,1
391,36,S,male,1
392,21,S,male,1
393,28,S,male,0
394,23,C,female,1
395,24,S,female,1
396,22,S,male,0
397,31,S,female,0
398,46,S,male,0
399,23,S,male,0
400,28,S,female,1
401,39,S,male,1
402,26,S,male,0
403,21,S,female,0
404,28,S,male,0
405,20,S,female,0
406,34,S,male,0
407,51,S,male,0
408,3,S,male,1
409,21,S,male,0
410,,S,female,0
411,,S,male,0
412,,Q,male,0
413,33,Q,female,1
414,,S,male,0
415,44,S,male,1
416,,S,female,0
417,34,S,female,1
418,18,S,female,1
419,30,S,male,0
420,10,S,female,0
421,,C,male,0
422,21,Q,male,0
423,29,S,male,0
424,28,S,female,0
425,18,S,male,0
426,,S,male,0
427,28,S,female,1
428,19,S,female,1
429,,Q,male,0
430,32,S,male,1
431,28,S,male,1
432,,S,female,1
433,42,S,female,1
434,17,S,male,0
435,50,S,male,0
436,14,S,female,1
437,21,S,female,0
438,24,S,female,1
439,64,S,male,0
440,31,S,male,0
441,45,S,female,1
442,20,S,male,0
443,25,S,male,0
444,28,S,female,1
445,,S,male,1
446,4,S,male,1
447,13,S,female,1
448,34,S,male,1
449,5,C,female,1
450,52,S,male,1
451,36,S,male,0
452,,S,male,0
453,30,C,male,0
454,49,C,male,1
455,,S,male,0
456,29,C,male,1
457,65,S,male,0
458,,S,female,1
459,50,S,female,1
460,,Q,male,0
461,48,S,male,1
462,34,S,male,0
463,47,S,male,0
464,48,S,male,0
465,,S,male,0
466,38,S,male,0
467,,S,male,0
468,56,S,male,0
469,,Q,male,0
470,0.75,C,female,1
471,,S,male,0
472,38,S,male,0
473,33,S,female,1
474,23,C,female,1
475,22,S,female,0
476,,S,male,0
477,34,S,male,0
478,29,S,male,0
479,22,S,male,0
480,2,S,female,1
481,9,S,male,0
482,,S,male,0
483,50,S,male,0
484,63,S,female,1
485,25,C,male,1
486,,S,female,0
487,35,S,female,1
488,58,C,male,0
489,30,S,male,0
490,9,S,male,1
491,,S,male,0
492,21,S,male,0
493,55,S,male,0
494,71,C,male,0
495,21,S,male,0
496,,C,male,0
497,54,C,female,1
498,,S,male,0
499,25,S,female,0
500,24,S,male,0
501,17,S,male,0
502,21,Q,female,0
503,,Q,female,0
504,37,S,female,0
505,16,S,female,1
506,18,C,male,0
507,33,S,female,1
508,,S,male,1
509,28,S,male,0
510,26,S,male,1
511,29,Q,male,1
512,,S,male,0
513,36,S,male,1
514,54,C,female,1
515,24,S,male,0
516,47,S,male,0
517,34,S,female,1
518,,Q,male,0
519,36,S,female,1
520,32,S,male,0
521,30,S,female,1
522,22,S,male,0
523,,C,male,0
524,44,C,female,1
525,,C,male,0
526,40.5,Q,male,0
527,50,S,female,1
528,,S,male,0
529,39,S,male,0
530,23,S,male,0
531,2,S,female,1
532,,C,male,0
533,17,C,male,0
534,,C,female,1
535,30,S,female,0
536,7,S,female,1
537,45,S,male,0
538,30,C,female,1
539,,S,male,0
540,22,C,female,1
541,36,S,female,1
542,9,S,female,0
543,11,S,female,0
544,32,S,male,1
545,50,C,male,0
546,64,S,male,0
547,19,S,female,1
548,,C,male,1
549,33,S,male,0
550,8,S,male,1
551,17,C,male,1
552,27,S,male,0
553,,Q,male,0
554,22,C,male,1
555,22,S,female,1
556,62,S,male,0
557,48,C,female,1
558,,C,male,0
559,39,S,female,1
560,36,S,female,1
561,,Q,male,0
562,40,S,male,0
563,28,S,male,0
564,,S,male,0
565,,S,female,0
566,24,S,male,0
567,19,S,male,0
568,29,S,female,0
569,,C,male,0
570,32,S,male,1
571,62,S,male,1
572,53,S,female,1
573,36,S,male,1
574,,Q,female,1
575,16,S,male,0
576,19,S,male,0
577,34,S,female,1
578,39,S,female,1
579,,C,female,0
580,32,S,male,1
581,25,S,female,1
582,39,C,female,1
583,54,S,male,0
584,36,C,male,0
585,,C,male,0
586,18,S,female,1
587,47,S,male,0
588,60,C,male,1
589,22,S,male,0
590,,S,male,0
591,35,S,male,0
592,52,C,female,1
593,47,S,male,0
594,,Q,female,0
595,37,S,male,0
596,36,S,male,0
597,,S,female,1
598,49,S,male,0
599,,C,male,0
600,49,C,male,1
601,24,S,female,1
602,,S,male,0
603,,S,male,0
604,44,S,male,0
605,35,C,male,1
606,36,S,male,0
607,30,S,male,0
608,27,S,male,1
609,22,C,female,1
610,40,S,female,1
611,39,S,female,0
612,,S,male,0
613,,Q,female,1
614,,Q,male,0
615,35,S,male,0
616,24,S,female,1
617,34,S,male,0
618,26,S,female,0
619,4,S,female,1
620,26,S,male,0
621,27,C,male,0
622,42,S,male,1
623,20,C,male,1
624,21,S,male,0
625,21,S,male,0
626,61,S,male,0
627,57,Q,male,0
628,21,S,female,1
629,26,S,male,0
630,,Q,male,0
631,80,S,male,1
632,51,S,male,0
633,32,C,male,1
634,,S,male,0
635,9,S,female,0
636,28,S,female,1
637,32,S,male,0
638,31,S,male,0
639,41,S,female,0
640,,S,male,0
641,20,S,male,0
642,24,C,female,1
643,2,S,female,0
644,,S,male,1
645,0.75,C,female,1
646,48,C,male,1
647,19,S,male,0
648,56,C,male,1
649,,S,male,0
650,23,S,female,1
651,,S,male,0
652,18,S,female,1
653,21,S,male,0
654,,Q,female,1
655,18,Q,female,0
656,24,S,male,0
657,,S,male,0
658,32,Q,female,0
659,23,S,male,0
660,58,C,male,0
661,50,S,male,1
662,40,C,male,0
663,47,S,male,0
664,36,S,male,0
665,20,S,male,1
666,32,S,male,0
667,25,S,male,0
668,,S,male,0
669,43,S,male,0
670,,S,female,1
671,40,S,female,1
672,31,S,male,0
673,70,S,male,0
674,31,S,male,1
675,,S,male,0
676,18,S,male,0
677,24.5,S,male,0
678,18,S,female,1
679,43,S,female,0
680,36,C,male,1
681,,Q,female,0
682,27,C,male,1
683,20,S,male,0
684,14,S,male,0
685,60,S,male,0
686,25,C,male,0
687,14,S,male,0
688,19,S,male,0
689,18,S,male,0
690,15,S,female,1
691,31,S,male,1
692,4,C,female,1
693,,S,male,1
694,25,C,male,0
695,60,S,male,0
696,52,S,male,0
697,44,S,male,0
698,,Q,female,1
699,49,C,male,0
700,42,S,male,0
701,18,C,female,1
702,35,S,male,1
703,18,C,female,0
704,25,Q,male,0
705,26,S,male,0
706,39,S,male,0
707,45,S,female,1
708,42,S,male,1
709,22,S,female,1
710,,C,male,1
711,24,C,female,1
712,,S,male,0
713,48,S,male,1
714,29,S,male,0
715,52,S,male,0
716,19,S,male,0
717,38,C,female,1
718,27,S,female,1
719,,Q,male,0
720,33,S,male,0
721,6,S,female,1
722,17,S,male,0
723,34,S,male,0
724,50,S,male,0
725,27,S,male,1
726,20,S,male,0
727,30,S,female,1
728,,Q,female,1
729,25,S,male,0
730,25,S,female,0
731,29,S,female,1
732,11,C,male,0
733,,S,male,0
734,23,S,male,0
735,23,S,male,0
736,28.5,S,male,0
737,48,S,female,0
738,35,C,male,1
739,,S,male,0
740,,S,male,0
741,,S,male,1
742,36,S,male,0
743,21,C,female,1
744,24,S,male,0
745,31,S,male,1
746,70,S,male,0
747,16,S,male,0
748,30,S,female,1
749,19,S,male,0
750,31,Q,male,0
751,4,S,female,1
752,6,S,male,1
753,33,S,male,0
754,23,S,male,0
755,48,S,female,1
756,0.67,S,male,1
757,28,S,male,0
758,18,S,male,0
759,34,S,male,0
760,33,S,female,1
761,,S,male,0
762,41,S,male,0
763,20,C,male,1
764,36,S,female,1
765,16,S,male,0
766,51,S,female,1
767,,C,male,0
768,30.5,Q,female,0
769,,Q,male,0
770,32,S,male,0
771,24,S,male,0
772,48,S,male,0
773,57,S,female,0
774,,C,male,0
775,54,S,female,1
776,18,S,male,0
777,,Q,male,0
778,5,S,female,1
779,,Q,male,0
780,43,S,female,1
781,13,C,female,1
782,17,S,female,1
783,29,S,male,0
784,,S,male,0
785,25,S,male,0
786,25,S,male,0
787,18,S,female,1
788,8,Q,male,0
789,1,S,male,1
790,46,C,male,0
791,,Q,male,0
792,16,S,male,0
793,,S,female,0
794,,C,male,0
795,25,S,male,0
796,39,S,male,0
797,49,S,female,1
798,31,S,female,1
799,30,C,male,0
800,30,S,female,0
801,34,S,male,0
802,31,S,female,1
803,11,S,male,1
804,0.42,C,male,1
805,27,S,male,1
806,31,S,male,0
807,39,S,male,0
808,18,S,female,0
809,39,S,male,0
810,33,S,female,1
811,26,S,male,0
812,39,S,male,0
813,35,S,male,0
814,6,S,female,0
815,30.5,S,male,0
816,,S,male,0
817,23,S,female,0
818,31,C,male,0
819,43,S,male,0
820,10,S,male,0
821,52,S,female,1
822,27,S,male,1
823,38,S,male,0
824,27,S,female,1
825,2,S,male,0
826,,Q,male,0
827,,S,male,0
828,1,C,male,1
829,,Q,male,1
830,62,,female,1
831,15,C,female,1
832,0.83,S,male,1
833,,C,male,0
834,23,S,male,0
835,18,S,male,0
836,39,C,female,1
837,21,S,male,0
838,,S,male,0
839,32,S,male,1
840,,C,male,1
841,20,S,male,0
842,16,S,male,0
843,30,C,female,1
844,34.5,C,male,0
845,17,S,male,0
846,42,S,male,0
847,,S,male,0
848,35,C,male,0
849,28,S,male,0
850,,C,female,1
851,4,S,male,0
852,74,S,male,0
853,9,C,female,0
854,16,S,female,1
855,44,S,female,0
856,18,S,female,1
857,45,S,female,1
858,51,S,male,1
859,24,C,female,1
860,,C,male,0
861,41,S,male,0
862,21,S,male,0
863,48,S,female,1
864,,S,female,0
865,24,S,male,0
866,42,S,female,1
867,27,C,female,1
868,31,S,male,0
869,,S,male,0
870,4,S,male,1
871,26,S,male,0
872,47,S,female,1
873,33,S,male,0
874,47,S,male,0
875,28,C,female,1
876,15,C,female,1
877,20,S,male,0
878,19,S,male,0
879,,S,male,0
880,56,C,female,1
881,25,S,female,1
882,33,S,male,0
883,22,S,female,0
884,28,S,male,0
885,25,S,male,0
886,39,Q,female,0
887,27,S,male,0
888,19,S,female,1
889,,S,female,0
890,26,C,male,1
891,32,Q,male,0
